Ranking,Model,Sales,Variance %,brand,model,chasis
1,Toyota HiLux,45176,-5.2,Toyota,Hilux,truck
2,Ford Ranger,40973,0,Ford,Ranger,truck
3,Toyota RAV4,38357,58.8,Toyota,RAV4,SUV
4,Toyota Corolla,25882,-15.1,Toyota,Corolla,hatchback
5,Mazda CX-5,21979,-13.9,Mazda,CX-5,SUV
6,Hyundai i30,20734,-26.9,Hyundai,i30,hatchback
7,Mitsubishi Triton,18136,-29.8,Mitsubishi,Triton,truck
8,Toyota Prado,18034,-1.6,Toyota,Prado,SUV
9,Kia Cerato,17559,-19.3,Kia,Cerato,sedan
10,Hyundai Tucson,15789,-13.5,Hyundai,Tucson,SUV
11,Toyota LandCruiser wagon,15078,9.2,Toyota,LandCruiser wagon,SUV
12,Isuzu D-Max,15062,-10.8,Isuzu,D-Max,Truck
13,Mazda 3,14663,-41.2,Mazda,"""3""",sedan
14,Nissan X-Trail,14291,-27.6,Nissan,X-Trail,SUV
15,Mitsubishi ASX,14056,-32.4,Mitsubishi,ASX,SUV
16,Mazda CX-3,13953,-5.8,Mazda,CX-3,SUV
17,Toyota Camry,13727,-18.1,Toyota,Camry,sedan
18,Hyundai Kona,12514,-6.2,Hyundai,Kona,SUV
19,Subaru Forester,12300,-18.5,Subaru,Forester,SUV
20,Mitsubishi Outlander,12004,-31.5,Mitsubishi,Outlander,SUV
21,Nissan Navara,11486,-14.4,Nissan,Navara,truck
22,Toyota LandCruiser 70 Series,10064,9.1,Toyota,LandCruiser 70 Series,SUV
23,Volkswagen Golf,10012,-30.3,Volkswagen,Golf,hatchback
24,Kia Seltos,9966,386.6,Kia,Seltos,SUV
25,Mazda BT-50,9588,-15.6,Mazda,BT-50,truck
26,Kia Sportage,9579,-29.8,Kia,Sportage,SUV
27,Honda CR-V,9523,-31,Honda,CR-V,SUV
28,Mazda CX-30,8998,N/A,Mazda,CX-30,SUV
29,Toyota C-HR,8500,-9.4,Toyota,C-HR,SUV
30,Toyota Kluger,8403,-26.1,Toyota,Kluger,SUV
31,Toyota HiAce,8391,37,Toyota,HiAce,van
32,Honda HR-V,8181,-30.3,Honda,HR-V,SUV
33,Subaru XV,7946,-21,Subaru,XV,SUV
34,Holden Colorado,7559,-56.7,Holden,Colorado,Truck
35,Honda Civic,7194,-31.7,Honda,Civic,sedan
37,Nissan Qashqai,7057,-39.4,Nissan,Qashqai,SUV
38,Isuzu MU-X,7049,-16.3,Isuzu,MU-X,SUV
39,Mazda CX-9,6747,-5.9,Mazda,CX-9,SUV
40,Volkswagen Amarok,6349,-24.2,Volkswagen,Amarok,truck
41,Mercedes-Benz A-Class,6054,29.1,Mercedes-Benz,A-Class,sedan
42,Mitsubishi Pajero Sport,6017,-7.1,Mitsubishi,Pajero Sport,SUV
43,Ford Everest,5996,12.4,Ford,Everest,SUV
44,Volkswagen Tiguan,5611,-27.6,Volkswagen,Tiguan,SUV
45,LDV T60,5581,58.1,LDV,T60,truck
46,MG ZS,5494,47.3,MG,ZS,SUV
47,Toyota Yaris,5027,-49,Toyota,Yaris,hatchback
48,Kia Rio,4952,-21,Kia,Rio,hatchback
49,Subaru Outback,4928,-33,Subaru,Outback,SUV
50,Hyundai Santa Fe,4615,-21.2,Hyundai,Santa Fe,SUV
51,Kia Sorento,4547,20.4,Kia,Sorento,SUV
52,Mitsubishi Eclipse Cross,4517,-35.5,Mitsubishi,Eclipse Cross,SUV
53,Mercedes-Benz GLC wagon,4470,-22.5,Mercedes-Benz,GLC wagon,SUV
54,Suzuki Vitara,4386,-16.5,Suzuki,Vitara,SUV
55,BMW X3,4360,-4.9,BMW,X3,SUV
56,Suzuki Swift,4332,-35.1,Suzuki,Swift,hatchback
57,Audi Q3,4090,441.7,Audi,Q3,SUV
58,Hyundai iLoad,3939,0,Hyundai,iLoad,van
59,Kia Picanto,3891,-25.7,Kia,Picanto,hatchback
60,Mazda 2,3790,-53.8,Mazda,"""2""",hatchback
61,Mazda CX-8,3738,46.5,Mazda,CX-8,SUV
62,Hyundai Venue,3678,195.4,Hyundai,Venue,SUV
63,Kia Carnival,3650,-43.8,Kia,Carnival,van
64,Volkswagen Polo,3602,-37.1,Volkswagen,Polo,hatchback
65,Volkswagen Tiguan Allspace,3537,-24.2,Volkswagen,Tiguan Allspace,SUV
66,Lexus NX,3518,1.4,Lexus,NX,SUV
67,BMW 3 Series,3406,8.6,BMW,3 Series,Sedan
68,Subaru Impreza,3390,-25,Subaru,Impreza,sedan
69,Mercedes-Benz C-Class,3378,-50.3,Mercedes-Benz,C-Class,sedan
70,Suzuki Baleno,3326,46.1,Suzuki,Baleno,hatchback
71,Ram 1500,3299,26.4,Ram,"""1500""",truck
72,Volvo XC40,3229,13,Volvo,XC40,SUV
73,Mercedes-Benz GLA,3173,23.8,Mercedes-Benz,GLA,SUV
74,BMW X1,3060,7.5,BMW,X1,SUV
75,Audi Q5,2992,-27.9,Audi,Q5,SUV
76,BMW X5,2956,-15.5,BMW,X5,SUV
77,Ford Mustang,2923,-26,Ford,Mustang,sedan
78,Toyota Fortuner,2883,-4.9,Toyota,Fortuner,SUV
79,Jeep Grand Cherokee,2870,-3.9,Jeep,Grand Cherokee,SUV
80,Volvo XC60,2858,-16.1,Volvo,XC60,SUV
81,Mercedes-Benz GLE wagon,2854,37.1,Mercedes-Benz,GLE wagon,SUV
82,Nissan Patrol,2820,44.5,Nissan,Patrol,SUV
83,Audi A3,2778,-17.4,Audi,A3,hatchback
84,Honda Jazz,2692,-48.9,Honda,Jazz,hatchback
85,Volkswagen T-Cross,2646,N/A,Volkswagen,T-Cross,SUV
86,MG HS,2600,2385.3,MG,HS,SUV
87,Renault Koleos,2408,-4.9,Renault,Koleos,SUV
88,Mitsubishi Pajero,2399,-15.7,Mitsubishi,Pajero,SUV
89,Mercedes-Benz X-Class,2386,12.2,Mercedes-Benz,X-Class,truck
90,Ford Transit Custom,2379,14.9,Ford,Transit Custom,van
91,Suzuki Jimny,2368,70.2,Suzuki,Jimny,SUV
92,Holden Trax,2314,-51.9,Holden,Trax,SUV
93,BMW 1 Series,2309,1.8,BMW,1 Series,hatchback
94,Porsche Macan,2158,7.4,Porsche,Macan,SUV
95,Skoda Octavia,2111,16.4,Skoda,Octavia,sedan
96,Mercedes-Benz CLA,2082,46.2,Mercedes-Benz,CLA,sedan
97,Toyota HiAce Commuter,2027,-21.3,Toyota,HiAce Commuter,van
98,Haval H2,1988,116.6,Haval,H2,SUV
99,Ford Escape,1971,-40.7,Ford,Escape,SUV
100,Lexus RX,1879,-0.2,Lexus,RX,SUV
